V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,treatment,purchase
0.51,A,0.84,0.35,61.3,1.62,42.89,0.34,8.61,10.09,20,4175.11,0.38,8.92,6,0.44,5.07,0,C,19.77,0,0
0.12,A,0.1,0.52,3.22,0.4,44.67,0.79,13.42,5.78,20,219.48,0.1,13.88,6,0.75,1.71,0,A,17.47,0,0
0.67,A,0.65,0.56,100.85,2.06,44.25,0.42,2.09,9.98,13,1051.39,0.52,1.75,6,0.44,0.7,0,C,19.66,0,0
0.4,A,0.24,0.93,69.13,0.78,45.29,0.39,0.36,8.56,11,6.7,0.46,9.19,7,0.16,0.76,0,A,17.9,1,0
4.61,A,0.35,0.46,13.58,1.88,46.99,0.91,0.82,4.55,18,5.99,0.73,9.27,6,0.87,2.62,0,A,15.96,1,0
0.1,A,0.02,0.96,100.14,0.31,47.35,0.55,0.75,15.51,15,71.73,0.14,1.46,8,0.01,2.25,0,A,24.75,0,0
2.19,A,0.51,0.43,68.55,1.06,47.31,0.27,1.13,7.31,15,167.11,0.76,0.15,11,0.95,4.64,0,C,12.72,0,1
1.43,A,0.81,0.88,952.36,3.02,52.08,0.8,1.47,10.74,16,621.98,0.12,197.49,3,0,0.2,0,C,22.71,1,0
0.45,A,0.08,0.03,0.91,1.68,38.84,0.36,0.88,8.38,15,4.99,0.58,0.08,12,0.79,4.66,0,A,5.93,0,0
0.33,A,0.6,0.24,1012.67,0.82,49.2,0.14,3.67,7.32,16,85.89,0.52,2.18,9,0.44,2.66,0,B,16.8,0,0
0.23,A,0.94,0.7,38.27,0.16,37.2,0.46,4.73,8.68,13,176.57,0.28,12.54,12,0.5,8.35,0,B,18.74,0,0
0.21,A,0.39,0.88,3.62,0.3,45.07,0.89,8.25,7.7,24,972.03,0.11,6.13,9,0.59,4.56,0,D,24.77,0,0
5.02,A,0.91,0.32,57.57,0.39,43.4,0.39,0.62,10.11,14,119.6,0.9,21.03,9,0.44,0.46,0,A,26.16,1,0
0.4,A,0.21,0.88,7.2,0.07,41.61,0.77,4.89,11.99,16,219.24,0.22,8.95,9,0.46,4.94,0,A,27.67,0,1
1.21,A,0.54,0.43,370.08,1.61,45.16,0.35,4.52,6.93,17,7.24,0.62,4.44,11,0.21,1.2,0,A,15.94,0,0
7.06,A,0.54,0.94,695.19,0.23,50.33,0.1,0,12.24,9,29.53,0.98,1.26,7,0.52,2.55,0,A,18.53,0,0
0.23,A,0.95,0.64,183.88,1.98,43.24,0.28,4.68,6.07,20,1327.61,0.98,8.8,9,0.59,0.38,0,B,25.26,0,0
0.95,A,0.23,0.38,128.09,1.19,48.93,0.3,0.95,8.24,13,127.86,0.57,3.35,6,0.53,0.33,0,A,21.1,0,0
0.4,A,0.12,0.46,0.91,2.21,42.7,0.88,0.96,6.78,22,29.11,0.47,0.54,11,0.55,6.56,0,F,10.45,0,0
0.44,A,0.01,0.81,1.87,0.18,43.49,0.41,3.14,10.09,17,8.25,0.28,0.26,11,0.85,3.37,0,A,21.54,0,0
0.62,A,0.28,0.94,44.66,0.14,52.86,0.98,3.24,2.15,21,234.19,0.58,3.87,4,0.91,6.05,0,A,13.98,1,0
2.01,A,0.68,0.45,43.17,1.59,46.64,0.25,4.21,10.51,13,234.45,0.11,1.83,8,0.68,1.66,0,D,15.94,0,0
0.21,A,0.45,0.82,242.63,0.42,49.96,0.41,1.22,14.33,13,221.45,0.64,11.65,6,0.04,0.3,0,A,32.71,0,0
5.47,A,0.73,0.47,669.83,2.33,54.49,0.78,1.16,6.92,24,230.27,0.86,19.36,6,0.38,2.74,0,C,22.7,1,0
3.42,A,0.18,0.53,3.02,0.52,47.95,0.86,0.92,5.72,20,247.37,0.7,0.64,6,0.89,4.6,0,A,10.88,0,1
0.27,A,0.31,0.77,80.47,0.49,42.82,0.63,1.94,12.11,16,47.74,0.94,0.94,12,0.41,2.38,0,B,27.58,0,0
0.69,A,0.05,0.39,2.29,0.28,49.67,0.92,0.39,4.03,22,20.47,0.81,1.46,8,0.79,6.73,0,B,8.79,1,0
0.71,A,0.87,0.18,98.83,0.83,40.66,0.46,4.72,11.35,10,119.29,0.54,9.24,15,0.45,1.04,0,E,33.97,0,0
0.7,A,0.16,0.45,31.93,1.39,51.4,0.88,0.85,7.04,21,17.59,0.96,1.4,9,0.44,1.3,0,B,21.33,0,0
2.85,A,0.57,0.58,9.78,2.16,45.68,0.24,0.12,10.08,10,405.29,0.32,0.23,8,0.48,0.78,0,B,10.91,0,0
0.05,A,0.47,0.04,368.12,3.96,43.31,0.4,2.36,11.54,8,13.94,0.02,3.96,7,0,0.02,0,A,17.86,0,0
0.33,A,0.03,0.16,42.31,2.3,46.56,0.21,0.71,11.01,18,4.9,0.94,1.48,14,0.09,0.38,0,B,21.94,0,0
2.17,A,0.47,0.11,67.9,2.71,47.85,0.32,0.68,4.18,17,215.66,0.91,0.23,11,0.82,1.88,0,C,6.16,0,0
2.14,A,0.18,0.97,18.37,0.18,48.76,0.8,0.44,12.14,19,258.83,0.87,0.74,6,0.72,4.37,0,A,25.93,1,0
1.24,A,0.57,0.29,483.38,2.4,44.75,0.63,0.6,10.62,12,24.14,0.55,4.03,9,0.07,0.88,0,C,22.25,0,0
6.74,A,0.61,0.42,355.75,0.88,47.28,0.42,0.1,12.63,9,27.83,0.9,0.16,9,0.76,1.74,0,A,22.06,0,0
1.26,A,0.9,0.48,163.61,4.33,46.16,0.6,1.36,8.89,15,591.03,0.72,1.91,8,0.27,1.71,0,G,12.28,0,0
0.1,A,0.39,0.42,217.63,0.2,40.98,0.28,8.47,6.59,10,57.76,0.08,1.82,8,0.64,1.34,0,A,21.57,0,0
2,A,0.3,0.83,1075.49,0.93,48.93,0.04,0.19,7.44,14,81.59,0.76,10.12,6,0.29,1.2,0,A,18.78,0,0
0.23,A,0.7,0.55,136.42,2.16,39.95,0.45,11.34,12.83,12,286.8,0.07,4.43,8,0.24,0.5,0,E,25.19,0,0
4.61,A,0.79,0.85,29.59,0.07,45.45,0.67,0,8.64,16,33.86,1,0.28,13,0.83,3.62,0,A,21.86,0,1
1.65,A,0.84,0.53,20.82,3.16,47.83,0.29,0.85,10.04,17,3228.22,0.12,0.42,7,0.16,0.63,0,C,12.67,0,0
0.4,A,0.77,0.85,422.87,2.83,40.75,0.53,6.55,11.27,12,249.48,0.36,36.25,6,0.06,0.01,0,B,28.26,0,0
0.2,A,0.66,0.94,209.25,1.56,39.42,0.7,3.22,12.83,15,32.64,0.36,33.15,7,0.03,1.36,0,B,25.7,0,0
1.03,A,0.98,0.71,315.18,3.66,45.71,0.51,1,4.09,14,1296.97,0.25,11.97,3,0.27,0.76,0,D,6.82,0,0
2.34,A,0.49,0.22,12.74,1.01,45.72,0.04,3.66,10.54,19,3185.32,0.69,3.82,9,0.67,0.12,0,A,29.6,0,0
0.3,A,0.43,0.9,15.58,0.38,50.49,0.73,6.97,11.29,20,9257.16,0.24,1.03,6,0.54,2.83,0,D,20.73,1,0
5.44,A,0.59,0.05,7.67,1.58,36.81,0.08,0.9,15.23,9,47.51,0.21,0.74,17,0.44,0.21,0,C,27.06,0,0
0.31,A,0.52,0.53,43.12,2.62,48.16,0.55,0.75,15.74,13,19.29,0.12,9.53,9,0,0.15,0,C,24.9,0,0
4.33,A,0.71,0.41,288.48,0.87,42.39,0.37,3.97,11.84,12,148.98,0.77,9.78,11,0.72,0.29,0,B,38.81,0,0
3.15,A,0.36,0.06,59.74,1.61,49.81,0.13,3.37,12.24,16,170.02,0.62,1.53,12,0.61,0.55,0,B,33.04,0,0
1.39,A,0.62,0.38,185.52,2.04,41.17,0.72,5.87,12.96,9,395.06,0.12,5.87,8,0.53,0.27,0,E,29.74,1,0
1.95,A,0.74,0.62,4.8,2.41,41.51,0.55,0.41,11.49,11,45.01,0.39,0.93,8,0.41,0.27,0,C,10.95,0,0
1.4,A,0.66,0.29,163.12,1.37,52.07,0.93,1.97,2.34,16,44.26,0.79,144.93,4,0.88,2.06,0,D,22.35,0,0
2.15,A,0.81,0.03,44.57,2.68,44.37,0.69,0.5,8.42,14,115.71,0.59,0.8,10,0.25,0.74,0,B,15.27,0,0
0.85,A,0.83,0.55,67.43,2.49,48.94,0.27,2.1,10.05,14,415.48,0.35,1.47,8,0.43,2.71,0,F,13.81,0,0
2.15,A,0.92,0.35,198,5.43,48.02,0.63,2.56,9.74,14,110.05,0.27,6.98,6,0.23,1.27,0,F,14.33,1,0
1.21,A,0.69,0.58,23.5,0.12,42.34,0.95,4.93,9.39,15,16.03,0.43,1.79,13,0.79,3.97,0,C,29.86,1,0
3.07,A,0.97,0.53,53.82,1.17,41.35,0.34,1.86,8,13,99.4,0.9,0.5,11,0.91,2.22,0,C,12.29,0,0
2.6,A,0.75,0.42,3.87,0.98,48.44,0.87,0.13,11.53,17,505.63,0.42,6.69,6,0.19,3.8,0,C,14.79,0,0
0.86,A,0.37,0.68,4.03,0.43,45.15,0.26,0.27,15.87,6,1403.42,0.14,0.01,10,0.74,0.33,0,B,18.61,0,0
1.68,A,0.53,0.24,1142.82,1.07,48.96,0.69,2.51,6.83,10,121.08,0.31,9.78,6,0.63,1.93,0,B,26.14,1,0
1.78,A,0.38,0.54,280.02,0.03,47.25,0,11.74,18.27,14,792.56,0.63,7,12,0.83,0.96,0,A,47.39,0,1
0.77,A,0.66,0.18,61.57,0.46,44,0.44,5.52,9.66,11,886.78,0.05,1.06,7,0.67,8.46,0,B,12.93,0,0
1.59,A,0.59,0.37,38.32,2.45,39.43,0.85,2.94,5.32,10,26.7,0.3,11.96,6,0.76,0.81,0,C,19.66,1,0
1.63,A,0.58,0.4,108.02,1.49,47.96,0.03,1.76,18.74,10,1046.01,0.05,1.09,7,0.04,0.72,0,A,20.68,0,0
1.53,A,0.56,0.18,748.46,2.99,49.3,0.95,3.55,0.15,19,6.16,0.73,0.28,8,0.84,6.49,0,C,6.47,0,0
2.55,A,0.55,0.51,8.56,1.82,48.07,0.66,1.84,10.95,13,234.13,0.16,1.05,9,0.45,0.33,0,D,19.88,0,0
2.95,A,0.51,0.42,9.73,6.14,40.71,0.17,0.11,12.33,14,314.94,0.14,0.2,9,0.08,1.42,0,E,3.57,1,1
1.92,A,0.74,0.43,31.03,0.37,50.58,0.81,3.65,8.6,14,881.59,0.2,10.71,4,0.8,2.88,0,B,21.09,0,0
1.45,A,0.69,0.25,39.86,0.4,40.93,0.08,2.68,6.98,17,301.15,0.68,11.86,8,0.65,2.36,0,A,13.99,0,0
2.1,A,0.02,0.61,1.69,0.07,40.77,0.39,0.87,5.88,19,3,0.99,0.24,15,1,8.02,0,A,19.21,0,0
5.03,A,0.41,0.75,300.36,2.22,52.75,0.65,2.18,8.17,17,105.27,0.52,16.68,4,0.62,0.84,0,B,24.05,0,0
1.79,A,0.66,0.65,1.6,2.58,36.62,0.49,0.6,14.07,12,85.78,0.03,0.37,12,0.22,1.41,0,F,15.82,0,0
0.07,A,0.05,0.76,16.52,0.65,46.96,0.93,3.38,10.19,16,38.77,0.22,5.4,7,0.38,1.79,0,C,26.73,0,0
3.94,A,0.98,0.1,3.87,8.37,41.98,0.93,0.01,15.07,9,13.42,0.12,0.94,14,0.01,0.12,0,P,20.26,1,0
0.01,A,0.61,0.9,377.94,0.27,48.96,0.57,7.5,6.5,17,132.19,0.67,17.57,6,0.43,2.23,0,B,23.02,0,0
1.88,A,0.3,0.43,55.46,2.12,57.22,0.11,0.88,13.96,17,751.66,0.06,2.6,8,0.13,1.26,0,G,23.56,0,0
0.09,A,0.08,0.49,9.51,1.76,45.29,0.08,5.58,12.76,19,260.4,0.01,1.45,10,0.08,2.36,0,E,17.4,0,0
0.78,A,0.07,0.18,24.24,0.79,48.58,0.99,1.25,11.76,12,9.66,0.04,0.66,8,0.09,1.8,0,B,24.13,0,0
0.39,A,0.18,0.52,40.79,1.16,47.06,0.81,0.76,7.05,16,13.57,0.16,0.05,11,0.54,8.25,0,D,8.02,0,0
0.2,A,0.09,0.13,23.82,1,44.13,0.31,2.08,13.17,16,70.77,0.13,0.58,13,0.12,6.98,0,D,19.76,1,0
0.01,A,0.39,0.05,34.76,0.5,44.25,0.25,3.93,6.45,11,12.74,0.34,0.44,13,0.8,2.85,0,C,16.72,0,0
0.43,A,0.77,0.7,222.44,4.12,45.15,0.34,0.89,9.87,14,36.12,0.11,8.33,7,0.03,0.92,0,D,9.57,0,0
1.51,A,0.81,0.46,224.56,1.67,50.93,0.48,5.72,11.96,14,688.22,0.17,4.37,5,0.28,0.08,0,B,27.7,0,0
2.63,A,0.92,0.2,293.8,4.5,53.12,0.64,0.8,6.63,16,34.47,0.8,8.95,7,0.29,0.75,0,D,14.61,0,0
0.73,A,0.2,0.42,9.78,1.36,39.95,0.54,3.23,8.24,17,41.88,0.33,0.13,13,0.69,7.88,0,D,13.2,1,0
0.46,A,0.67,0.4,777.12,6.36,51.69,0.68,0.28,11.68,13,63.64,0.23,7.35,6,0,0.13,0,E,14.04,0,0
0.95,A,0.9,0.68,308.02,0.46,44.17,0.42,1.24,7.35,13,54.01,0.68,34.4,5,0.6,1.43,1,A,22.43,0,0
1.66,A,0.62,0.23,842.47,0.37,56.52,0.65,0.83,9.88,11,36.65,0.43,20.69,7,0.12,2.86,0,A,28.73,0,0
0.36,A,0.33,0.4,68.31,1.85,35.12,0.37,3.32,12.61,10,35,0.2,0.17,14,0.49,0.57,0,C,25.88,0,0
4.81,A,0.61,0.99,289.72,0.83,56.1,0.84,0.39,6.01,21,419.98,0.81,15.88,1,0.63,2.9,0,A,13.38,0,0
2.89,A,0.82,0.58,550.73,1.18,47.68,0.45,3.59,7.78,14,231.01,0.74,1.45,7,0.86,4.04,0,C,11.41,0,0
2.44,A,0.52,0.3,128.94,0.68,44.48,0.74,4.39,9.03,15,159.98,0.35,44.94,8,0.34,0.35,0,A,33.95,0,0
2.25,A,0.8,0.83,167.53,0.79,42.79,0.73,0.16,10,13,6.92,0.96,4.29,8,0.46,1.05,1,A,20.84,0,0
1.98,A,0.59,0.94,1077.78,0.79,52.88,0.12,0.06,11.13,16,613.33,0.86,5.84,8,0.12,3.42,0,B,21.93,1,0
1.81,A,0.4,0.89,62.46,1.3,48.78,0.35,0.45,11.87,15,294.73,0.71,1.44,7,0.46,1.41,0,C,18.31,0,0
3.1,A,0.69,0.37,33.81,1.15,41.95,0.29,1.42,11.13,9,19.15,0.13,0.49,13,0.7,1.24,0,C,18,0,0
0.14,A,0.3,0.26,119.4,0.3,35.48,0.47,1.73,14.46,5,8.79,0.2,0.72,13,0.14,1.01,0,A,26.05,0,0
1.02,A,0.37,0.86,49.59,0.07,50.57,0.06,2.01,6.61,17,1159.61,0.93,44.51,4,0.77,0.49,0,A,20.92,0,0
1.03,A,0.67,0.39,79.67,3.59,39.41,0.72,2.35,9.09,12,4.91,0.44,1.23,11,0.52,2.82,0,F,16.3,0,0
3.18,A,0.59,0.43,42.01,0.85,47.33,0.27,0.12,7.63,15,135.54,0.93,2.71,6,0.6,1.64,0,A,17.44,0,0
4,A,0.53,0.98,58.22,1.26,51.09,0.95,0.2,7.13,15,288.3,0.66,0.3,4,0.82,3.54,0,C,9.16,0,0
0.09,A,0.8,0.94,1616.06,0.76,47.17,0.46,1.63,10.12,16,153.11,0.53,177.79,4,0,0.42,0,A,24.81,0,0
0.02,A,0.23,0.95,455.58,0.08,44.63,0.29,13.65,7.6,22,100.33,0.66,94.29,8,0.41,1.1,0,A,34.02,0,1
2.16,A,0.5,0.39,3792.56,2.61,50.62,0.44,1.31,8.23,10,64.34,0.85,1.52,5,0.4,0.14,0,A,18.43,0,0
8.4,A,0.93,0.6,19.34,0.26,44.41,0.32,0.08,13.73,15,535.86,0.73,105.91,7,0.21,1.29,0,A,29.35,0,0
3.23,A,0.79,0.61,80.63,4.79,36.01,0.36,0.59,14.37,9,7.73,0.08,4.06,11,0.01,0.57,0,D,19.54,1,0
0.34,A,0.01,0.95,38.22,0.45,48.96,0.71,1.47,1.72,20,12.68,0.87,1.11,8,0.91,4.07,0,B,8.51,0,0
7.48,A,1,0.8,1837.73,0.73,52.64,0.4,3.53,14.08,17,22028.38,0.78,14.82,6,0.58,3.38,0,D,30.72,0,0
0.67,A,0.3,0.15,204.56,4.15,44.66,0.93,8.37,6.83,14,63.57,0.15,3.21,6,0.54,0.47,0,D,22.81,0,0
2.44,A,0.99,0.56,424.91,8.37,43.41,0.38,3.85,11.48,9,204.32,0.16,3.04,9,0.15,0.01,0,H,18.3,0,0
0.52,A,0.31,0.73,78.53,0.2,47.4,0.77,2.16,12.64,16,75.64,0.25,3.94,10,0.3,1.92,0,B,39.91,0,0
0.77,A,0.37,0.65,51.81,1.27,42.62,0.59,4.81,10.36,10,340.03,0.36,0.65,8,0.8,2.99,0,D,17.16,0,1
0.31,A,0.14,0.87,3.08,0.16,40.14,0.47,1.95,12.37,15,9.61,0.33,1.42,13,0.39,3.11,0,A,21.33,0,0
0.77,A,0.59,0.89,22.22,0.11,44.96,0.61,6.69,11.64,12,591.04,0.48,3.26,7,0.85,0.77,0,A,29.48,0,0
0.8,A,0.84,0.99,977.1,0.37,50.01,0.87,6.58,4.58,20,245.62,0.6,85.23,5,0.61,2.82,0,C,24.94,0,0
0.16,A,0.19,0.76,1.38,0.56,31,0.5,1.59,15.85,12,26.51,0.27,0.02,16,0.41,1.2,0,B,26.37,0,0
1.54,A,0.49,0,4.22,1.24,33.92,0.54,0.86,7.96,9,14.32,0.79,0.41,16,0.91,2.61,0,B,19,1,0
0.14,A,0.19,0.37,20.23,0.18,45.15,0.15,3.22,10.76,11,775.65,0.38,0.15,12,0.85,1.18,0,B,23.45,1,0
0.89,A,0.41,0.46,220.07,1.02,50.36,0.18,1.18,11.47,14,285.4,0.81,5.67,8,0.41,0.21,0,B,27.45,0,0
0.88,A,0.74,0.44,73.7,2.1,44.69,0.9,1.1,10.86,15,158.9,0.29,0.56,9,0.15,2.85,0,F,16.09,1,0
2.04,A,0.11,0.88,15.19,1.04,48.36,0.78,0.63,10.55,14,50.17,0.46,0.32,6,0.56,0.37,0,A,20.55,0,0
2.03,A,0.61,0.49,73.94,2.12,44.46,0.71,1.15,7.02,15,57.58,0.14,13.3,6,0.07,1.02,0,A,10.23,0,0
1.09,A,0.56,0.74,17.1,2.39,49.19,0.97,1.02,6.83,13,112.66,0.29,0.65,7,0.5,1.38,0,F,11.15,1,0
1.41,A,0.26,0.98,105.92,1.64,50.19,0.35,0.01,10.88,17,4.22,0.9,0.07,12,0.17,1.64,0,B,9.76,0,0
0.28,B,0.06,0.83,11.01,0.32,51.03,0.96,0.15,8.1,17,9.62,0.75,0.6,12,0.67,14.77,0,H,12.46,0,0
0,A,0.09,0.69,139.54,0.38,44.2,0.58,1.59,3.97,15,50.2,0.89,17.41,7,0.24,0.5,0,A,21.4,0,0
