"","decision","company_name","prob"
"112",0,"112",0.015
"113",0,"113",0.03
"114",0,"114",0.068
"115",0,"115",0.089
"116",0,"116",0.024
"117",1,"117",0.251
"118",0,"118",0.085
"119",0,"119",0.001
"120",0,"120",0.005
"121",0,"121",0.082
"122",0,"122",0.029
"123",0,"123",0.056
"124",0,"124",0.005
"125",0,"125",0.06
"126",0,"126",0.042
"127",1,"127",0.185
"128",1,"128",0.157
"129",0,"129",0.071
"130",0,"130",0.017
"131",1,"131",0.154
"132",1,"132",0.286
"133",0,"133",0.021
"134",0,"134",0.01
"135",0,"135",0.031
"136",0,"136",0.036
"137",1,"137",0.102
"138",0,"138",0.006
"139",0,"139",0.011
"140",1,"140",0.103
"141",0,"141",0.015
"142",1,"142",0.197
"143",0,"143",0.051
"144",0,"144",0.068
"145",1,"145",0.1
"146",0,"146",0.038
"147",0,"147",0.064
"148",0,"148",0.001
"149",0,"149",0.009
"150",1,"150",0.188
"151",1,"151",0.372
"152",1,"152",0.114
"153",0,"153",0.004
"154",0,"154",0.008
"155",0,"155",0.04
"156",0,"156",0.034
"157",1,"157",0.258
"158",0,"158",0.008
"159",0,"159",0.005
"160",1,"160",0.26
"161",0,"161",0.015
"162",1,"162",0.18
"163",1,"163",0.375
"164",0,"164",0.013
"165",1,"165",0.246
"166",1,"166",0.238
"167",1,"167",0.26
"168",1,"168",0.1
"169",1,"169",0.18
"170",0,"170",0.091
"171",0,"171",0.028
"172",0,"172",0.007
"173",0,"173",0.081
"174",0,"174",0.015
"175",0,"175",0.012
"176",0,"176",0.031
"177",1,"177",0.266
"178",1,"178",0.344
"179",1,"179",0.363
"180",1,"180",0.118
"181",0,"181",0.078
"182",1,"182",0.17
"183",0,"183",0.012
"184",0,"184",0.048
"185",0,"185",0
"186",0,"186",0.004
"187",0,"187",0.013
"188",0,"188",0.011
"189",0,"189",0.033
"190",0,"190",0.01
"191",1,"191",0.101
"192",0,"192",0.079
"193",0,"193",0.077
"194",0,"194",0.002
"195",0,"195",0.007
"196",0,"196",0.015
"197",0,"197",0.006
"198",0,"198",0.048
"199",0,"199",0.046
"200",0,"200",0.012
"201",1,"201",0.389
"202",0,"202",0.003
"203",0,"203",0.006
"204",0,"204",0.095
"205",1,"205",0.26
"206",0,"206",0
"207",0,"207",0.002
"208",0,"208",0.006
"209",0,"209",0.046
"210",0,"210",0.011
"211",0,"211",0.013
"212",0,"212",0.061
"213",0,"213",0.031
"214",1,"214",0.154
"215",0,"215",0.009
"216",1,"216",0.221
"217",0,"217",0.069
"218",0,"218",0.007
"219",0,"219",0.028
"220",0,"220",0.037
"221",0,"221",0.001
"222",0,"222",0.059
"223",0,"223",0.025
"224",0,"224",0.022
"225",0,"225",0.038
"226",1,"226",0.304
"227",0,"227",0.015
"228",0,"228",0.006
"229",0,"229",0.004
"230",0,"230",0.057
"231",0,"231",0.041
"232",0,"232",0.004
"233",0,"233",0.082
"234",1,"234",0.144
"235",0,"235",0.027
"236",0,"236",0.071
"237",0,"237",0.023
"238",0,"238",0.004
"239",0,"239",0.003
"240",1,"240",0.122
"241",0,"241",0.086
"242",0,"242",0.074
"243",0,"243",0.053
"244",1,"244",0.715
"245",0,"245",0.009
"246",0,"246",0.068
"247",1,"247",0.14
"248",0,"248",0.052
"249",0,"249",0
"250",0,"250",0.046
"251",0,"251",0.084
"252",1,"252",0.138
"253",1,"253",0.18
"254",1,"254",0.188
"255",0,"255",0.06
"256",0,"256",0.045
"257",0,"257",0.002
"258",0,"258",0
"259",0,"259",0.017
"260",0,"260",0.019
"261",0,"261",0.022
"262",0,"262",0.004
"263",0,"263",0.028
"264",0,"264",0.015
"265",0,"265",0.011
"266",1,"266",0.104
"267",1,"267",0.317
"268",0,"268",0.005
"269",0,"269",0.065
"270",0,"270",0.058
"271",0,"271",0.027
"272",0,"272",0.052
"273",1,"273",0.436
"274",0,"274",0.006
"275",0,"275",0.079
"276",0,"276",0.073
"277",0,"277",0.051
"278",0,"278",0.02
"279",0,"279",0.016
"280",0,"280",0.001
"281",0,"281",0.007
"282",0,"282",0.067
"283",0,"283",0.001
"284",0,"284",0.036
"285",0,"285",0.007
"286",0,"286",0.005
"287",1,"287",0.37
"288",1,"288",0.097
"289",0,"289",0.002
"290",0,"290",0.007
"291",1,"291",0.187
"292",0,"292",0.001
"293",0,"293",0.007
"294",0,"294",0.018
"295",1,"295",0.564
"296",0,"296",0.094
"297",0,"297",0.008
"298",0,"298",0.087
"299",0,"299",0.016
"300",0,"300",0.02
"301",0,"301",0.038
"302",0,"302",0.028
"303",1,"303",0.185
"304",0,"304",0.03
"305",1,"305",0.22
"306",1,"306",0.216
"307",0,"307",0.024
"308",0,"308",0.01
"309",0,"309",0.012
"310",0,"310",0.024
"311",0,"311",0.024
"312",0,"312",0.049
"313",1,"313",0.24
"314",0,"314",0.006
"315",0,"315",0.047
"316",0,"316",0.001
"317",0,"317",0.052
"318",0,"318",0.026
"319",0,"319",0.022
"320",1,"320",0.132
"321",0,"321",0.002
"322",0,"322",0.067
"323",1,"323",0.151
"324",0,"324",0.074
"325",0,"325",0.084
"326",0,"326",0.004
"327",0,"327",0.041
"328",0,"328",0.052
"329",0,"329",0.001
"330",0,"330",0.004
"331",0,"331",0.024
"332",0,"332",0.035
"333",0,"333",0.016
"334",0,"334",0.019
"335",0,"335",0.04
"336",0,"336",0.021
"337",0,"337",0.002
"338",1,"338",0.188
"339",0,"339",0.04
"340",0,"340",0.016
"341",0,"341",0.068
"342",1,"342",0.102
"343",0,"343",0.015
"344",1,"344",0.109
"345",0,"345",0.013
"346",0,"346",0.025
"347",0,"347",0.001
"348",0,"348",0.003
"349",0,"349",0.028
"350",0,"350",0.01
"351",0,"351",0.043
"352",0,"352",0.059
"353",1,"353",0.168
"354",0,"354",0.052
"355",0,"355",0.041
"356",0,"356",0
"357",0,"357",0.062
"358",0,"358",0.027
"359",1,"359",0.152
"360",0,"360",0.078
"361",0,"361",0.006
"362",0,"362",0.084
"363",0,"363",0.085
"364",0,"364",0.083
"365",0,"365",0.069
"366",0,"366",0.006
"367",0,"367",0.03
"368",1,"368",0.171
"369",0,"369",0.002
"370",0,"370",0.007
"371",0,"371",0.01
"372",1,"372",0.186
"373",1,"373",0.15
"374",0,"374",0.003
"375",0,"375",0.074
"376",1,"376",0.099
"377",0,"377",0
"378",0,"378",0.047
"379",0,"379",0.041
"380",0,"380",0.022
"381",0,"381",0.041
"382",0,"382",0.094
"383",0,"383",0.012
"384",0,"384",0.009
"385",0,"385",0.011
"386",1,"386",0.115
"387",1,"387",0.489
"388",1,"388",0.325
"389",0,"389",0.013
"390",1,"390",0.482
"391",0,"391",0.009
"392",0,"392",0.031
"393",0,"393",0.002
"394",0,"394",0.013
"395",0,"395",0.028
"396",0,"396",0.042
"397",0,"397",0.022
"398",1,"398",0.196
"399",1,"399",0.108
"400",1,"400",0.221
"401",0,"401",0.005
"402",0,"402",0.091
"403",0,"403",0.029
"404",0,"404",0.003
"405",1,"405",0.125
"406",0,"406",0.017
"407",0,"407",0.073
"408",1,"408",0.153
"409",0,"409",0.006
"410",1,"410",0.168
"411",1,"411",0.132
"412",0,"412",0.072
"413",0,"413",0.008
"414",0,"414",0.047
"415",0,"415",0.084
"416",1,"416",0.249
"417",0,"417",0.01
"418",0,"418",0.067
"419",0,"419",0.039
"420",0,"420",0.095
"421",1,"421",0.313
"422",1,"422",0.163
"423",0,"423",0.014
"424",0,"424",0.009
"425",0,"425",0.012
"426",0,"426",0.01
"427",0,"427",0.073
"428",0,"428",0.002
"429",0,"429",0.048
"430",0,"430",0.06
"431",0,"431",0.018
"432",0,"432",0.034
"433",1,"433",0.148
"434",0,"434",0.012
"435",0,"435",0.017
"436",1,"436",0.125
"437",0,"437",0.006
"438",0,"438",0.005
"439",0,"439",0.046
"440",0,"440",0.021
"441",1,"441",0.176
"442",0,"442",0.009
"443",0,"443",0.003
"444",0,"444",0.016
"445",0,"445",0.014
"446",0,"446",0.048
"447",0,"447",0.081
"448",1,"448",0.214
"449",0,"449",0.052
"450",0,"450",0.027
"451",0,"451",0.005
"452",0,"452",0.064
"453",0,"453",0.048
"454",0,"454",0.034
"455",0,"455",0.001
"456",1,"456",0.112
"457",1,"457",0.254
"458",0,"458",0.066
"459",0,"459",0.01
"460",0,"460",0.016
"461",0,"461",0.058
"462",0,"462",0.013
"463",0,"463",0.013
"464",0,"464",0.032
"465",0,"465",0.033
"466",0,"466",0.002
"467",0,"467",0.02
"468",0,"468",0.021
"469",0,"469",0.011
"470",0,"470",0.019
"471",0,"471",0.016
"472",1,"472",0.205
"473",0,"473",0.05
"474",0,"474",0.044
"475",1,"475",0.189
"476",1,"476",0.186
"477",0,"477",0.026
"478",1,"478",0.11
"479",0,"479",0.008
"480",0,"480",0.018
"481",0,"481",0.031
"482",0,"482",0.012
"483",0,"483",0.017
"484",1,"484",0.108
"485",0,"485",0.007
"486",0,"486",0.009
"487",0,"487",0.04
"488",0,"488",0.003
"489",0,"489",0.009
"490",0,"490",0.003
"491",0,"491",0.093
"492",0,"492",0.076
"493",0,"493",0.043
"494",0,"494",0.044
"495",0,"495",0.075
"496",0,"496",0.017
"497",0,"497",0.013
"498",1,"498",0.263
"499",1,"499",0.242
"500",0,"500",0.046
"501",1,"501",0.307
"502",0,"502",0.073
"503",0,"503",0.064
"504",0,"504",0.041
"505",0,"505",0.048
"506",0,"506",0.005
"507",0,"507",0.04
"508",0,"508",0.081
"509",0,"509",0.022
"510",0,"510",0.051
"511",0,"511",0.007
"512",1,"512",0.171
"513",0,"513",0.011
"514",1,"514",0.291
"515",1,"515",0.199
"516",1,"516",0.099
"517",0,"517",0.048
"518",0,"518",0.008
"519",0,"519",0.022
"520",1,"520",0.154
"521",0,"521",0.006
"522",0,"522",0.019
"523",0,"523",0.004
"524",0,"524",0.037
"525",0,"525",0.007
"526",1,"526",0.193
"527",0,"527",0.036
"528",0,"528",0.009
"529",0,"529",0.036
"530",0,"530",0.022
"531",0,"531",0.086
"532",1,"532",0.108
"533",0,"533",0.052
"534",0,"534",0.075
"535",1,"535",0.109
"536",0,"536",0.039
"537",1,"537",0.187
"538",0,"538",0.006
"539",0,"539",0.004
"540",0,"540",0.038
"541",0,"541",0.016
"542",0,"542",0.037
"543",0,"543",0.016
"544",0,"544",0.078
"545",0,"545",0.062
"546",0,"546",0.005
"547",1,"547",0.243
"548",0,"548",0.083
"549",0,"549",0.039
"550",0,"550",0.036
"551",0,"551",0.01
"552",0,"552",0.017
"553",0,"553",0.015
"554",0,"554",0.007
"555",0,"555",0.004
"556",1,"556",0.206
"557",1,"557",0.26
"558",0,"558",0.043
"559",1,"559",0.184
"560",1,"560",0.112
"561",0,"561",0.015
"562",0,"562",0.084
"563",0,"563",0.075
"564",0,"564",0.033
"565",0,"565",0.074
"566",0,"566",0.014
"567",0,"567",0.005
"568",1,"568",0.167
"569",1,"569",0.167
"570",0,"570",0.086
"571",0,"571",0
"572",0,"572",0.014
"573",0,"573",0.012
"574",0,"574",0.056
"575",0,"575",0.073
"576",0,"576",0.021
"577",0,"577",0.034
"578",0,"578",0.06
"579",0,"579",0.02
"580",0,"580",0.003
"581",0,"581",0.071
"582",0,"582",0.045
"583",0,"583",0.009
"584",0,"584",0.063
"585",0,"585",0.04
"586",0,"586",0.055
"587",0,"587",0.011
"588",0,"588",0.042
"589",0,"589",0.037
"590",0,"590",0.001
"591",0,"591",0.028
"592",0,"592",0.065
"593",0,"593",0.007
"594",1,"594",0.241
"595",0,"595",0.012
"596",0,"596",0.048
"597",0,"597",0.028
"598",0,"598",0.056
"599",0,"599",0.044
"600",0,"600",0.057
"601",0,"601",0.046
"602",0,"602",0.044
"603",0,"603",0.003
"604",0,"604",0.007
"605",1,"605",0.194
"606",0,"606",0.05
"607",0,"607",0.024
"608",0,"608",0.083
"609",1,"609",0.15
"610",1,"610",0.214
"611",0,"611",0.001
"612",0,"612",0.003
"613",0,"613",0.032
"614",1,"614",0.101
"615",0,"615",0.019
"616",0,"616",0.018
"617",1,"617",0.434
"618",0,"618",0.026
"619",0,"619",0.015
"620",0,"620",0.012
"621",1,"621",0.26
"622",0,"622",0.002
"623",1,"623",0.38
"624",1,"624",0.462
"625",0,"625",0.001
"626",0,"626",0.043
"627",0,"627",0.005
"628",1,"628",0.485
"629",1,"629",0.198
"630",0,"630",0.016
"631",0,"631",0.02
"632",0,"632",0.043
"633",0,"633",0.015
"634",1,"634",0.16
"635",0,"635",0.016
"636",0,"636",0.052
"637",0,"637",0.064
"638",0,"638",0.036
"639",0,"639",0.016
"640",0,"640",0.042
"641",0,"641",0.087
"642",0,"642",0.044
"643",0,"643",0.003
"644",1,"644",0.249
"645",0,"645",0.023
"646",0,"646",0.052
"647",0,"647",0.013
"648",0,"648",0.084
"649",0,"649",0.032
"650",0,"650",0.009
"651",0,"651",0.053
"652",0,"652",0.028
"653",0,"653",0.024
"654",0,"654",0.011
"655",0,"655",0.053
"656",0,"656",0.003
"657",1,"657",0.175
"658",1,"658",0.105
"659",0,"659",0.041
"660",1,"660",0.101
"661",0,"661",0.026
"662",1,"662",0.102
"663",0,"663",0.022
"664",0,"664",0.027
"665",0,"665",0.023
"666",1,"666",0.185
"667",0,"667",0.011
"668",0,"668",0.067
"669",1,"669",0.15
"670",0,"670",0.005
"671",1,"671",0.132
"672",1,"672",0.262
"673",0,"673",0.005
"674",0,"674",0.053
"675",0,"675",0.024
"676",1,"676",0.116
"677",0,"677",0.089
"678",0,"678",0.032
"679",0,"679",0.029
"680",1,"680",0.161
"681",1,"681",0.163
"682",1,"682",0.372
"683",1,"683",0.128
"684",1,"684",0.097
"685",1,"685",0.197
"686",0,"686",0.034
"687",0,"687",0.017
"688",0,"688",0.002
"689",0,"689",0.001
"690",0,"690",0.093
"691",0,"691",0.015
"692",1,"692",0.275
"693",1,"693",0.423
"694",0,"694",0.044
"695",1,"695",0.313
"696",0,"696",0.045
"697",0,"697",0.028
"698",0,"698",0.008
"699",0,"699",0.036
"700",0,"700",0.093
"701",0,"701",0.003
"702",0,"702",0.002
"703",1,"703",0.273
"704",1,"704",0.372
"705",0,"705",0.03
"706",0,"706",0.012
"707",0,"707",0.006
"708",0,"708",0.061
"709",0,"709",0.087
"710",0,"710",0.006
"711",0,"711",0.086
"712",0,"712",0.021
"713",1,"713",0.143
"714",0,"714",0.063
"715",1,"715",0.149
"716",0,"716",0.008
"717",1,"717",0.382
"718",0,"718",0.014
"719",1,"719",0.102
"720",1,"720",0.134
"721",1,"721",0.203
"722",1,"722",0.336
"723",0,"723",0.009
"724",0,"724",0.007
"725",0,"725",0.062
"726",0,"726",0.002
"727",0,"727",0.05
"728",0,"728",0.005
"729",0,"729",0.068
"730",0,"730",0.005
"731",1,"731",0.172
"732",0,"732",0.031
"733",0,"733",0.085
"734",1,"734",0.253
"735",0,"735",0.012
"736",0,"736",0.031
"737",0,"737",0.089
"738",0,"738",0.001
"739",0,"739",0.018
"740",1,"740",0.112
"741",1,"741",0.197
"742",0,"742",0.053
"743",0,"743",0.037
"744",0,"744",0.039
"745",0,"745",0.005
"746",1,"746",0.388
"747",0,"747",0.009
"748",0,"748",0.007
"749",0,"749",0.063
"750",0,"750",0.024
"751",1,"751",0.34
"752",1,"752",0.211
"753",0,"753",0.026
"754",0,"754",0.011
"755",0,"755",0.01
"756",0,"756",0.043
"757",0,"757",0.006
"758",1,"758",0.279
"759",1,"759",0.187
"760",0,"760",0.006
"761",0,"761",0.042
"762",0,"762",0.007
"763",1,"763",0.101
"764",0,"764",0.091
"765",0,"765",0.007
"766",0,"766",0.01
"767",0,"767",0.008
"768",0,"768",0.017
"769",1,"769",0.188
"770",0,"770",0.012
"771",0,"771",0.043
"772",0,"772",0.02
"773",0,"773",0.037
"774",1,"774",0.098
"775",0,"775",0.007
"776",0,"776",0.007
"777",0,"777",0.03
"778",1,"778",0.177
"779",0,"779",0.027
"780",0,"780",0.023
"781",0,"781",0.029
"782",0,"782",0.009
"783",0,"783",0.008
"784",0,"784",0.024
"785",1,"785",0.143
"786",0,"786",0.035
"787",0,"787",0.006
"788",0,"788",0.02
"789",0,"789",0.012
"790",0,"790",0.016
"791",1,"791",0.148
"792",0,"792",0.008
"793",1,"793",0.194
"794",0,"794",0.049
"795",0,"795",0.048
"796",0,"796",0.001
"797",0,"797",0.07
"798",0,"798",0.091
"799",0,"799",0.002
"800",0,"800",0.004
"801",0,"801",0.002
"802",1,"802",0.645
"803",0,"803",0.002
"804",0,"804",0
"805",0,"805",0.005
"806",0,"806",0.028
"807",0,"807",0.042
"808",0,"808",0.002
"809",1,"809",0.434
"810",0,"810",0.041
"811",0,"811",0.006
"812",0,"812",0.019
"813",0,"813",0.067
"814",1,"814",0.266
"815",1,"815",0.097
"816",1,"816",0.116
"817",0,"817",0.03
"818",0,"818",0.024
"819",0,"819",0.016
"820",1,"820",0.377
"821",1,"821",0.182
"822",1,"822",0.19
"823",1,"823",0.141
"824",1,"824",0.287
"825",0,"825",0.078
"826",0,"826",0.065
"827",0,"827",0.011
"828",0,"828",0.023
"829",0,"829",0.003
"830",0,"830",0.015
"831",0,"831",0.004
"832",0,"832",0.003
"833",0,"833",0.09
"834",0,"834",0.006
"835",1,"835",0.535
"836",0,"836",0.035
"837",0,"837",0.008
"838",0,"838",0.017
"839",1,"839",0.098
"840",0,"840",0.075
"841",0,"841",0.002
"842",1,"842",0.105
"843",0,"843",0.003
"844",0,"844",0.001
"845",0,"845",0.061
"846",1,"846",0.123
"847",0,"847",0.038
"848",0,"848",0.002
"849",0,"849",0.013
"850",0,"850",0.038
"851",0,"851",0.008
"852",0,"852",0.005
"853",0,"853",0.079
"854",0,"854",0.057
"855",0,"855",0.009
"856",0,"856",0.074
"857",0,"857",0.001
"858",0,"858",0.03
"859",0,"859",0.042
"860",0,"860",0.002
"861",0,"861",0.058
"862",0,"862",0.08
"863",0,"863",0.01
"864",0,"864",0.008
"865",0,"865",0.012
"866",1,"866",0.558
"867",1,"867",0.194
"868",0,"868",0.002
"869",0,"869",0.001
"870",0,"870",0.018
"871",0,"871",0.01
"872",1,"872",0.2
"873",0,"873",0.049
"874",0,"874",0.063
"875",1,"875",0.199
"876",0,"876",0.004
"877",1,"877",0.281
"878",0,"878",0.014
"879",0,"879",0.064
"880",0,"880",0.036
"881",0,"881",0.01
"882",0,"882",0.03
"883",0,"883",0.012
"884",0,"884",0.058
"885",0,"885",0.038
"886",0,"886",0.088
"887",0,"887",0.036
"888",0,"888",0.017
"889",0,"889",0.014
"890",0,"890",0.015
"891",0,"891",0.022
"892",0,"892",0.009
"893",0,"893",0.023
"894",0,"894",0.029
"895",0,"895",0.067
"896",0,"896",0.009
"897",1,"897",0.223
"898",0,"898",0.021
"899",0,"899",0.009
"900",0,"900",0.076
"901",0,"901",0
"902",1,"902",0.167
"903",1,"903",0.166
"904",0,"904",0.016
"905",0,"905",0.025
"906",0,"906",0.054
"907",0,"907",0.06
"908",0,"908",0.023
"909",1,"909",0.106
"910",0,"910",0.073
"911",1,"911",0.134
"912",0,"912",0.025
"913",0,"913",0.012
"914",0,"914",0.015
"915",1,"915",0.156
"916",0,"916",0.064
"917",0,"917",0.021
"918",0,"918",0.081
"919",0,"919",0.067
"920",0,"920",0.002
"921",1,"921",0.269
"922",0,"922",0.015
"923",0,"923",0.014
"924",0,"924",0.061
"925",0,"925",0.006
"926",0,"926",0.094
"927",0,"927",0.024
"928",0,"928",0.008
"929",0,"929",0.065
"930",0,"930",0.067
"931",0,"931",0.039
"932",0,"932",0.006
"933",0,"933",0.039
"934",0,"934",0.046
"935",0,"935",0.021
"936",0,"936",0.025
"937",0,"937",0.084
"938",0,"938",0.05
"939",1,"939",0.158
"940",0,"940",0.002
"941",1,"941",0.133
"942",1,"942",0.168
"943",0,"943",0.011
"944",1,"944",0.311
"945",0,"945",0.074
"946",1,"946",0.159
"947",0,"947",0.002
"948",0,"948",0.049
"949",1,"949",0.232
"950",0,"950",0.009
"951",0,"951",0.005
"952",0,"952",0.01
"953",0,"953",0.042
"954",0,"954",0.016
"955",1,"955",0.176
"956",1,"956",0.162
"957",0,"957",0.041
"958",1,"958",0.118
"959",0,"959",0.047
"960",0,"960",0.013
"961",0,"961",0.033
"962",1,"962",0.432
"963",0,"963",0.005
"964",0,"964",0.013
"965",0,"965",0.03
"966",0,"966",0.012
"967",0,"967",0.001
"968",0,"968",0.033
"969",0,"969",0.037
"970",0,"970",0.009
"971",1,"971",0.475
"972",0,"972",0.001
"973",0,"973",0.009
"974",0,"974",0.016
"975",0,"975",0.016
"976",1,"976",0.115
"977",0,"977",0.05
"978",0,"978",0.027
"979",1,"979",0.205
"980",0,"980",0.014
"981",0,"981",0.051
"982",0,"982",0.044
"983",0,"983",0.034
"984",1,"984",0.156
"985",0,"985",0.017
"986",0,"986",0
"987",0,"987",0.006
"988",0,"988",0.004
"989",1,"989",0.169
"990",0,"990",0.035
"991",1,"991",0.189
"992",0,"992",0.025
"993",0,"993",0.015
"994",0,"994",0.015
"995",1,"995",0.122
"996",0,"996",0.008
"997",0,"997",0.001
"998",0,"998",0.015
"999",1,"999",0.107
"1000",0,"1000",0.025
"1001",0,"1001",0.037
"1002",1,"1002",0.197
"1003",0,"1003",0.072
"1004",0,"1004",0.053
"1005",0,"1005",0.016
"1006",1,"1006",0.412
"1007",0,"1007",0.052
"1008",0,"1008",0.05
"1009",0,"1009",0.026
"1010",0,"1010",0.028
"1011",0,"1011",0.046
"1012",0,"1012",0.02
"1013",1,"1013",0.315
"1014",0,"1014",0.044
"1015",0,"1015",0.008
"1016",0,"1016",0.002
"1017",0,"1017",0
"1018",1,"1018",0.157
"1019",0,"1019",0.086
"1020",1,"1020",0.15
"1021",1,"1021",0.115
"1022",0,"1022",0.01
"1023",0,"1023",0.02
"1024",0,"1024",0.003
"1025",0,"1025",0.04
"1026",1,"1026",0.294
"1027",0,"1027",0.047
"1028",0,"1028",0.023
"1029",0,"1029",0.008
"1030",0,"1030",0.048
"1031",0,"1031",0.041
"1032",0,"1032",0.027
"1033",0,"1033",0.013
"1034",0,"1034",0.039
"1035",0,"1035",0.003
"1036",1,"1036",0.098
"1037",0,"1037",0.077
"1038",0,"1038",0.026
"1039",0,"1039",0.021
"1040",1,"1040",0.144
"1041",0,"1041",0.089
"1042",0,"1042",0.013
"1043",1,"1043",0.249
"1044",0,"1044",0.021
"1045",0,"1045",0.009
"1046",0,"1046",0.068
"1047",0,"1047",0.075
"1048",0,"1048",0.013
"1049",1,"1049",0.243
"1050",0,"1050",0.008
"1051",0,"1051",0.03
"1052",0,"1052",0.003
"1053",0,"1053",0.048
"1054",0,"1054",0.04
"1055",0,"1055",0.047
"1056",0,"1056",0.034
"1057",0,"1057",0.013
"1058",0,"1058",0.015
"1059",0,"1059",0.008
"1060",1,"1060",0.405
"1061",0,"1061",0.082
"1062",0,"1062",0.04
"1063",0,"1063",0.043
"1064",0,"1064",0.019
"1065",0,"1065",0.057
"1066",0,"1066",0.018
"1067",0,"1067",0.015
"1068",0,"1068",0.013
"1069",1,"1069",0.113
"1070",0,"1070",0.012
"1071",0,"1071",0.049
"1072",0,"1072",0.052
"1073",1,"1073",0.325
"1074",0,"1074",0.01
"1075",0,"1075",0.023
"1076",0,"1076",0.004
"1077",1,"1077",0.338
"1078",1,"1078",0.322
"1079",0,"1079",0.009
"1080",0,"1080",0.002
"1081",1,"1081",0.159
"1082",0,"1082",0.019
"1083",0,"1083",0.01
"1084",1,"1084",0.115
"1085",1,"1085",0.329
"1086",0,"1086",0.002
"1087",0,"1087",0.01
"1088",0,"1088",0.011
"1089",1,"1089",0.111
"1090",0,"1090",0.012
"1091",0,"1091",0.028
"1092",0,"1092",0.022
"1093",1,"1093",0.256
"1094",0,"1094",0.001
"1095",0,"1095",0.009
"1096",0,"1096",0.003
"1097",1,"1097",0.161
"1098",0,"1098",0.07
"1099",0,"1099",0.023
"1100",0,"1100",0.006
"1101",1,"1101",0.098
"1102",0,"1102",0.027
"1103",0,"1103",0.074
"1104",0,"1104",0.024
"1105",0,"1105",0.038
"1106",1,"1106",0.26
"1107",1,"1107",0.124
"1108",0,"1108",0.001
"1109",0,"1109",0.033
"1110",1,"1110",0.104
"1111",0,"1111",0.003
"1112",0,"1112",0.075
"1113",0,"1113",0.047
"1114",0,"1114",0.059
"1115",0,"1115",0.027
"1116",0,"1116",0.085
"1117",0,"1117",0.011
"1118",1,"1118",0.221
"1119",0,"1119",0.002
"1120",0,"1120",0.016
"1121",1,"1121",0.11
"1122",0,"1122",0.003
"1123",0,"1123",0.02
"1124",0,"1124",0.005
"1125",0,"1125",0.012
"1126",0,"1126",0.054
"1127",0,"1127",0.053
"1128",0,"1128",0.002
"1129",0,"1129",0.03
"1130",1,"1130",0.16
"1131",0,"1131",0.01
"1132",0,"1132",0.035
"1133",0,"1133",0.016
"1134",1,"1134",0.489
"1135",1,"1135",0.337
"1136",1,"1136",0.265
"1137",0,"1137",0.006
"1138",0,"1138",0.011
"1139",0,"1139",0.008
"1140",0,"1140",0.035
"1141",0,"1141",0.018
"1142",0,"1142",0.08
